Loss,ValLoss,time per step,accumulated seconds,derivative_train_loss,derivative_val_loss
1.1128,0.9181,31,31,0.035896774193548385,0.029616129032258066
0.8224,0.7445,25,56,0.032896,0.02978
0.6045,0.5619,27,83,0.02238888888888889,0.02081111111111111
0.3985,0.3807,27,110,0.01475925925925926,0.0141
0.2547,0.2681,27,137,0.009433333333333334,0.00992962962962963
0.1709,0.2172,27,164,0.0063296296296296295,0.008044444444444444
0.1192,0.1584,29,193,0.004110344827586207,0.005462068965517242
0.0979,0.1324,29,222,0.003375862068965517,0.00456551724137931
0.0834,0.1233,29,251,0.002875862068965517,0.004251724137931035
0.0677,0.1116,29,280,0.0023344827586206894,0.0038482758620689657
0.0647,0.1235,28,308,0.0023107142857142853,0.004410714285714286
0.0555,0.1016,30,338,0.00185,0.0033866666666666667
0.0619,0.0824,28,366,0.0022107142857142855,0.002942857142857143
0.0481,0.0825,20,386,0.002405,0.004125
0.0436,0.0907,26,412,0.001676923076923077,0.0034884615384615384
0.0554,0.1229,25,437,0.002216,0.004916
0.0438,0.0800,21,458,0.002085714285714286,0.0038095238095238095
0.0415,0.0616,22,480,0.0018863636363636365,0.0028
0.0443,0.0508,24,504,0.0018458333333333332,0.0021166666666666664
0.0391,0.0675,24,528,0.0016291666666666668,0.0028125000000000003
0.0441,0.0805,25,553,0.001764,0.00322
0.0377,0.0320,24,577,0.0015708333333333332,0.0013333333333333333
0.0341,0.0415,29,606,0.0011758620689655173,0.0014310344827586207
0.0422,0.0509,27,633,0.001562962962962963,0.0018851851851851853
0.0455,0.0947,28,661,0.001625,0.0033821428571428574
0.0373,0.0486,28,689,0.001332142857142857,0.0017357142857142855
0.0528,0.0380,29,718,0.0018206896551724138,0.0013103448275862068
0.0358,0.0313,29,747,0.0012344827586206896,0.0010793103448275862
0.0393,0.0315,25,772,0.001572,0.00126
0.0425,0.0637,29,801,0.0014655172413793104,0.002196551724137931
0.0398,0.0368,27,828,0.001474074074074074,0.001362962962962963
0.0369,0.0331,26,854,0.0014192307692307694,0.001273076923076923
0.0296,0.0451,27,881,0.0010962962962962964,0.0016703703703703705
0.0285,0.0283,28,909,0.0010178571428571428,0.0010107142857142856
0.0265,0.1041,29,938,0.0009137931034482759,0.003589655172413793
0.0353,0.0333,27,965,0.0013074074074074073,0.0012333333333333335
0.0335,0.0315,29,994,0.0011551724137931036,0.001086206896551724
0.0376,0.1279,29,1023,0.001296551724137931,0.004410344827586207
0.0271,0.0323,28,1051,0.0009678571428571428,0.0011535714285714287
0.0372,0.0464,26,1077,0.0014307692307692307,0.0017846153846153845
0.0260,0.0272,28,1105,0.0009285714285714286,0.0009714285714285713
0.0427,0.0411,28,1133,0.001525,0.0014678571428571427
0.0251,0.0266,29,1162,0.0008655172413793104,0.0009172413793103448
0.0341,0.0896,28,1190,0.0012178571428571427,0.0032
0.0426,0.0765,28,1218,0.0015214285714285714,0.002732142857142857
0.0401,0.0403,29,1247,0.001382758620689655,0.0013896551724137932
0.0376,0.0282,28,1275,0.0013428571428571428,0.001007142857142857
0.0304,0.0551,29,1304,0.0010482758620689655,0.0019000000000000002
0.0306,0.0598,28,1332,0.0010928571428571428,0.0021357142857142855
0.0273,0.0277,28,1360,0.0009750000000000001,0.0009892857142857142
0.0275,0.0367,251,1611,0.00010956175298804781,0.00014621513944223109
0.0250,0.0282,246,1857,0.0001016260162601626,0.00011463414634146342
0.0231,0.0259,245,2102,9.428571428571429e-05,0.00010571428571428571
0.0212,0.0329,245,2347,8.653061224489795e-05,0.00013428571428571428
0.0202,0.0318,245,2592,8.244897959183673e-05,0.00012979591836734695
0.0185,0.0254,248,2840,7.459677419354838e-05,0.00010241935483870967
0.0192,0.0292,247,3087,7.77327935222672e-05,0.00011821862348178138
0.0177,0.0688,250,3337,7.08e-05,0.0002752
0.0183,0.0251,246,3583,7.439024390243903e-05,0.00010203252032520325
0.0168,0.0273,244,3827,6.885245901639344e-05,0.00011188524590163935
0.0164,0.0392,249,4076,6.586345381526105e-05,0.000157429718875502
0.0166,0.0300,244,4320,6.80327868852459e-05,0.00012295081967213115
0.0146,0.0278,244,4564,5.9836065573770495e-05,0.00011393442622950819
0.0150,0.0262,247,4811,6.072874493927125e-05,0.00010607287449392713
0.0150,0.0311,244,5055,6.147540983606557e-05,0.0001274590163934426
0.0140,0.0304,244,5299,5.737704918032787e-05,0.00012459016393442623
0.0128,0.0292,244,5543,5.245901639344263e-05,0.00011967213114754099
0.0146,0.0234,244,5787,5.9836065573770495e-05,9.59016393442623e-05
0.0128,0.0308,244,6031,5.245901639344263e-05,0.0001262295081967213
0.0140,0.0300,244,6275,5.737704918032787e-05,0.00012295081967213115
0.0130,0.0295,247,6522,5.263157894736842e-05,0.0001194331983805668
0.0127,0.0293,247,6769,5.1417004048582994e-05,0.00011862348178137652
0.0121,0.0243,246,7015,4.91869918699187e-05,9.878048780487805e-05
0.0116,0.0313,245,7260,4.73469387755102e-05,0.00012775510204081632
0.0139,0.0334,246,7506,5.65040650406504e-05,0.00013577235772357723
0.0129,0.0174,32,7538,0.000403125,0.00054375
0.0146,0.0240,31,7569,0.0004709677419354839,0.0007741935483870968
0.0148,0.0167,30,7599,0.0004933333333333334,0.0005566666666666667
0.0121,0.0272,31,7630,0.00039032258064516126,0.0008774193548387097
0.0123,0.0141,31,7661,0.0003967741935483871,0.00045483870967741937
0.0117,0.0146,31,7692,0.00037741935483870967,0.0004709677419354839
0.0112,0.0498,30,7722,0.0003733333333333333,0.0016599999999999998
0.0116,0.0147,31,7753,0.00037419354838709673,0.0004741935483870968
0.0111,0.0381,30,7783,0.00037,0.00127
0.0112,0.0156,31,7814,0.00036129032258064514,0.0005032258064516129
0.0142,0.0165,16,7830,0.0008875,0.00103125
0.0114,0.0433,15,7845,0.00076,0.0028866666666666667
0.0109,0.0179,15,7860,0.0007266666666666667,0.0011933333333333334
0.0111,0.0121,15,7875,0.00074,0.0008066666666666667
0.0100,0.0150,15,7890,0.0006666666666666666,0.001
0.0116,0.0812,15,7905,0.0007733333333333332,0.005413333333333333
0.0108,0.0187,15,7920,0.00072,0.0012466666666666668
0.0112,0.0521,15,7935,0.0007466666666666666,0.0034733333333333335
0.0112,0.0131,15,7950,0.0007466666666666666,0.0008733333333333334
0.0119,0.0171,15,7965,0.0007933333333333334,0.00114
0.0112,0.0175,16,7981,0.0007,0.00109375
0.0111,0.0121,15,7996,0.00074,0.0008066666666666667
0.0107,0.0142,15,8011,0.0007133333333333333,0.0009466666666666667
0.0120,0.0420,15,8026,0.0008,0.0028
0.0109,0.0172,15,8041,0.0007266666666666667,0.0011466666666666667
0.0119,0.0139,15,8056,0.0007933333333333334,0.0009266666666666666
0.0113,0.0434,15,8071,0.0007533333333333333,0.0028933333333333333
0.0113,0.0344,15,8086,0.0007533333333333333,0.0022933333333333334
0.0117,0.0114,15,8101,0.00078,0.00076
0.0110,0.0170,15,8116,0.0007333333333333333,0.0011333333333333334
