Loss,ValLoss,time per step,accumulated seconds,derivative_train_loss,derivative_val_loss
1.3470,1.0829,104,104,0.012951923076923076,0.0104125
1.1562,1.0662,105,209,0.01101142857142857,0.010154285714285715
1.0804,1.0549,104,313,0.010388461538461539,0.01014326923076923
1.0492,1.0444,104,417,0.010088461538461537,0.010042307692307692
1.0247,1.0323,104,521,0.009852884615384614,0.009925961538461538
1.0018,1.0162,106,627,0.009450943396226416,0.009586792452830189
0.9774,0.9983,108,735,0.00905,0.009243518518518519
0.9545,0.9762,107,842,0.008920560747663552,0.009123364485981307
0.9286,0.9431,115,957,0.008074782608695652,0.008200869565217392
0.8997,0.9014,108,1065,0.008330555555555556,0.008346296296296296
0.8671,0.8444,107,1172,0.00810373831775701,0.007891588785046729
0.8373,0.7789,117,1289,0.007156410256410257,0.006657264957264958
0.7986,0.7082,110,1399,0.00726,0.006438181818181819
0.7611,0.6337,115,1514,0.0066182608695652175,0.005510434782608696
0.7364,0.5831,106,1620,0.006947169811320755,0.005500943396226415
0.6962,0.5374,100,1720,0.006962,0.005374
0.6621,0.5082,100,1820,0.006621,0.005082
0.6317,0.4816,104,1924,0.006074038461538462,0.004630769230769231
0.6132,0.4570,101,2025,0.006071287128712871,0.004524752475247525
0.5792,0.4421,103,2128,0.005623300970873787,0.004292233009708738
0.5512,0.4412,103,2231,0.0053514563106796115,0.004283495145631068
0.5306,0.4203,104,2335,0.005101923076923077,0.004041346153846154
0.4956,0.4046,108,2443,0.004588888888888889,0.0037462962962962966
0.4727,0.4060,119,2562,0.003972268907563025,0.0034117647058823533
0.4441,0.3789,118,2680,0.0037635593220338983,0.0032110169491525423
0.4336,0.3628,116,2796,0.0037379310344827586,0.003127586206896552
0.4122,0.3523,105,2901,0.003925714285714286,0.003355238095238095
0.3899,0.3436,102,3003,0.0038225490196078433,0.0033686274509803923
0.3823,0.3206,102,3105,0.0037480392156862743,0.003143137254901961
0.3641,0.2966,100,3205,0.0036409999999999997,0.002966
0.3382,0.2981,104,3309,0.0032519230769230767,0.002866346153846154
0.3212,0.2774,104,3413,0.003088461538461538,0.002667307692307692
0.3090,0.2603,99,3512,0.003121212121212121,0.002629292929292929
0.2892,0.2685,103,3615,0.0028077669902912624,0.0026067961165048546
0.2752,0.2550,102,3717,0.0026980392156862746,0.0025
0.2760,0.2265,101,3818,0.002732673267326733,0.002242574257425743
0.2566,0.2231,101,3919,0.0025405940594059404,0.002208910891089109
0.2484,0.2170,101,4020,0.0024594059405940597,0.0021485148514851487
0.2378,0.1996,105,4125,0.002264761904761905,0.001900952380952381
0.2264,0.2091,101,4226,0.0022415841584158417,0.0020702970297029706
0.2181,0.1868,101,4327,0.0021594059405940593,0.0018495049504950495
0.2070,0.1914,102,4429,0.0020294117647058824,0.001876470588235294
0.2002,0.1835,103,4532,0.0019436893203883495,0.0017815533980582523
0.1918,0.1700,101,4633,0.001899009900990099,0.0016831683168316834
0.1818,0.1570,102,4735,0.0017823529411764704,0.00153921568627451
0.1755,0.1523,108,4843,0.001625,0.0014101851851851851
0.1695,0.1544,106,4949,0.0015990566037735851,0.0014566037735849057
0.1618,0.1394,103,5052,0.001570873786407767,0.0013533980582524272
0.1495,0.1582,101,5153,0.0014801980198019802,0.0015663366336633663
0.1552,0.1421,109,5262,0.0014238532110091744,0.0013036697247706423
0.0275,0.0367,251,5513,0.00010956175298804781,0.00014621513944223109
0.0250,0.0282,246,5759,0.0001016260162601626,0.00011463414634146342
0.0231,0.0259,245,6004,9.428571428571429e-05,0.00010571428571428571
0.0212,0.0329,245,6249,8.653061224489795e-05,0.00013428571428571428
0.0202,0.0318,245,6494,8.244897959183673e-05,0.00012979591836734695
0.0185,0.0254,248,6742,7.459677419354838e-05,0.00010241935483870967
0.0192,0.0292,247,6989,7.77327935222672e-05,0.00011821862348178138
0.0177,0.0688,250,7239,7.08e-05,0.0002752
0.0183,0.0251,246,7485,7.439024390243903e-05,0.00010203252032520325
0.0168,0.0273,244,7729,6.885245901639344e-05,0.00011188524590163935
0.0164,0.0392,249,7978,6.586345381526105e-05,0.000157429718875502
0.0166,0.0300,244,8222,6.80327868852459e-05,0.00012295081967213115
0.0146,0.0278,244,8466,5.9836065573770495e-05,0.00011393442622950819
0.0150,0.0262,247,8713,6.072874493927125e-05,0.00010607287449392713
0.0150,0.0311,244,8957,6.147540983606557e-05,0.0001274590163934426
0.0140,0.0304,244,9201,5.737704918032787e-05,0.00012459016393442623
0.0128,0.0292,244,9445,5.245901639344263e-05,0.00011967213114754099
0.0146,0.0234,244,9689,5.9836065573770495e-05,9.59016393442623e-05
0.0128,0.0308,244,9933,5.245901639344263e-05,0.0001262295081967213
0.0140,0.0300,244,10177,5.737704918032787e-05,0.00012295081967213115
0.0130,0.0295,247,10424,5.263157894736842e-05,0.0001194331983805668
0.0127,0.0293,247,10671,5.1417004048582994e-05,0.00011862348178137652
0.0121,0.0243,246,10917,4.91869918699187e-05,9.878048780487805e-05
0.0116,0.0313,245,11162,4.73469387755102e-05,0.00012775510204081632
0.0139,0.0334,246,11408,5.65040650406504e-05,0.00013577235772357723
